paper_id,year,decile,citation_pct_rank,gen_chars,ref_chars,rougeL_target,rougeL_decoy_mean,rougeL_decoy_max,rougeL_margin,lcs_target,lcs_decoy_mean,eight_target,eight_decoy_mean,eight_decoy_max,extractable
rkxVz1HKwB,2020,6,0.6827,728,850,0.2143,0.1408,0.1718,0.0735,0.0330,0.0198,0.0000,0.0000,0.0000,0
r1YqWz-R-,2018,6,0.6962,848,886,0.2724,0.1442,0.1673,0.1281,0.0448,0.0269,0.0000,0.0000,0.0000,0
HJeRkh05Km,2019,6,0.6721,765,731,0.2393,0.1402,0.1633,0.0991,0.0314,0.0290,0.0000,0.0000,0.0000,0
ByrZyglCb,2018,6,0.6004,600,837,0.2981,0.1594,0.1923,0.1387,0.0467,0.0250,0.0000,0.0000,0.0000,0
HymuJz-A-,2018,6,0.6000,614,884,0.1581,0.1240,0.1561,0.0341,0.0309,0.0205,0.0000,0.0000,0.0000,0
rkxusjRctQ,2019,6,0.6400,660,894,0.1417,0.1395,0.1641,0.0022,0.0379,0.0264,0.0000,0.0000,0.0000,0
rJljdh4KDH,2020,5,0.5929,571,1841,0.1140,0.1195,0.1341,-0.0055,0.0490,0.0242,0.0000,0.0000,0.0000,0
BkVsWbbAW,2018,7,0.7737,970,1145,0.2000,0.1275,0.1488,0.0725,0.0381,0.0134,0.0000,0.0000,0.0000,0
Skeke3C5Fm,2019,7,0.7256,676,776,0.2190,0.1354,0.1550,0.0837,0.0414,0.0257,0.0000,0.0000,0.0000,0
BkltNhC9FX,2019,6,0.6220,617,783,0.2100,0.1488,0.1772,0.0612,0.0454,0.0321,0.0000,0.0000,0.0000,0
S1lVniC5Y7,2019,6,0.6365,638,1163,0.1942,0.1471,0.1782,0.0472,0.0502,0.0251,0.0000,0.0000,0.0000,0
HkfPSh05K7,2019,6,0.6829,602,931,0.1925,0.1509,0.1728,0.0416,0.0382,0.0352,0.0000,0.0000,0.0000,0
ryykVe-0W,2018,6,0.6302,460,733,0.1749,0.1529,0.1848,0.0220,0.0348,0.0365,0.0000,0.0000,0.0000,0
rkxY-sl0W,2018,7,0.7031,785,1113,0.2315,0.1362,0.1498,0.0953,0.0395,0.0191,0.0000,0.0000,0.0000,0
ByghKiC5YX,2019,6,0.6365,766,611,0.2039,0.1260,0.1825,0.0779,0.0313,0.0201,0.0000,0.0000,0.0000,0
HkgHk3RctX,2019,7,0.7286,525,885,0.2373,0.1272,0.1556,0.1101,0.0533,0.0320,0.0000,0.0000,0.0000,0
rybAWfx0b,2018,6,0.6233,737,532,0.2029,0.1383,0.1573,0.0646,0.0407,0.0190,0.0000,0.0000,0.0000,0
H1-nGgWC-,2018,7,0.7252,611,696,0.2049,0.1614,0.2093,0.0435,0.0327,0.0285,0.0000,0.0000,0.0000,0
rJxAo2VYwr,2020,7,0.7051,737,738,0.2140,0.1592,0.1976,0.0548,0.0407,0.0255,0.0000,0.0000,0.0000,0
SJahqJZAW,2018,7,0.7215,492,925,0.2095,0.1560,0.1854,0.0536,0.0366,0.0390,0.0000,0.0000,0.0000,0
Hkbd5xZRb,2018,7,0.7737,652,1051,0.2140,0.1399,0.1560,0.0741,0.0307,0.0276,0.0000,0.0000,0.0000,0
ryH20GbRW,2018,7,0.7837,753,895,0.1984,0.1451,0.1767,0.0533,0.0332,0.0212,0.0000,0.0000,0.0000,0
BkloRs0qK7,2019,7,0.7960,451,630,0.2331,0.1582,0.1869,0.0750,0.0310,0.0421,0.0000,0.0000,0.0000,0
HJePno0cYm,2019,7,0.7500,514,977,0.1674,0.1116,0.1538,0.0557,0.0389,0.0327,0.0000,0.0000,0.0000,0
S1lhbnRqF7,2019,7,0.7256,521,832,0.2170,0.1472,0.1587,0.0697,0.0576,0.0238,0.0000,0.0000,0.0000,0
rkxt8oC9FQ,2019,7,0.7897,744,922,0.1687,0.1567,0.1827,0.0119,0.0215,0.0191,0.0000,0.0000,0.0000,0
SyzKd1bCW,2018,7,0.7384,675,680,0.1616,0.1171,0.1306,0.0445,0.0281,0.0216,0.0000,0.0000,0.0000,0
SJIA6ZWC-,2018,7,0.7152,606,498,0.2517,0.1514,0.1978,0.1002,0.0693,0.0257,0.0000,0.0000,0.0000,0
ryfz73C9KQ,2019,7,0.7403,696,1352,0.1645,0.1250,0.1406,0.0395,0.0359,0.0204,0.0000,0.0000,0.0000,0
rke8ZhCcFQ,2019,7,0.7960,511,933,0.2348,0.1680,0.2262,0.0668,0.0607,0.0419,0.0000,0.0000,0.0000,0
SJJySbbAZ,2018,7,0.7903,452,1197,0.1798,0.1433,0.1868,0.0365,0.0398,0.0327,0.0000,0.0000,0.0000,0
S1Y7OOlRZ,2018,7,0.7384,810,871,0.2043,0.1121,0.1288,0.0922,0.0296,0.0212,0.0000,0.0000,0.0000,0
BklKFo09YX,2019,7,0.7265,678,627,0.1895,0.1433,0.1797,0.0462,0.0221,0.0212,0.0000,0.0000,0.0000,0
ryesZANKPB,2020,7,0.7660,738,578,0.1837,0.1323,0.1556,0.0513,0.0352,0.0201,0.0000,0.0000,0.0000,0
rkenmREFDr,2020,7,0.7660,664,719,0.1379,0.1261,0.1584,0.0118,0.0316,0.0241,0.0000,0.0000,0.0000,0
SyfIfnC5Ym,2019,7,0.7937,712,1602,0.2343,0.1635,0.2288,0.0708,0.0730,0.0303,0.0000,0.0000,0.0000,0
H1ewdiR5tQ,2019,8,0.8381,414,503,0.2500,0.1257,0.1406,0.1243,0.0604,0.0338,0.0000,0.0000,0.0000,0
ryewE3R5YX,2019,7,0.7792,726,1492,0.1988,0.1327,0.1520,0.0661,0.0441,0.0190,0.0000,0.0000,0.0000,0
BJl6AjC5F7,2019,7,0.7587,553,480,0.1609,0.1542,0.1805,0.0067,0.0307,0.0271,0.0000,0.0000,0.0000,0
S1J2ZyZ0Z,2018,7,0.7333,774,735,0.1974,0.1644,0.2110,0.0330,0.0271,0.0238,0.0000,0.0000,0.0000,0
BJG0voC9YQ,2019,7,0.7013,813,1331,0.2073,0.1618,0.1851,0.0456,0.0517,0.0212,0.0000,0.0000,0.0000,0
B1gTShAct7,2019,8,0.8833,773,994,0.1953,0.1276,0.1589,0.0677,0.0259,0.0186,0.0000,0.0000,0.0000,0
HJGtFoC5Fm,2019,7,0.7667,534,966,0.2018,0.1484,0.1643,0.0534,0.0412,0.0262,0.0000,0.0000,0.0000,0
H1uR4GZRZ,2018,8,0.8433,683,972,0.1917,0.1208,0.1561,0.0708,0.0527,0.0208,0.0000,0.0000,0.0000,0
SJgw_sRqFQ,2019,8,0.8222,795,1067,0.1986,0.1596,0.1810,0.0390,0.0277,0.0204,0.0000,0.0000,0.0000,0
HyXBcYg0b,2018,8,0.8731,632,1262,0.1625,0.1527,0.1734,0.0098,0.0364,0.0304,0.0000,0.0000,0.0000,0
rygPm64tDH,2020,8,0.8718,601,841,0.1719,0.1486,0.1667,0.0233,0.0349,0.0263,0.0000,0.0000,0.0000,0
ByxPYjC5KQ,2019,8,0.8632,622,629,0.2458,0.1635,0.1810,0.0823,0.0386,0.0289,0.0000,0.0000,0.0000,0
HJxpDiC5tX,2019,8,0.8000,416,972,0.1739,0.1392,0.1565,0.0347,0.0337,0.0437,0.0000,0.0000,0.0000,0
rkeJRhNYDH,2020,8,0.8571,612,1239,0.1877,0.1408,0.1654,0.0469,0.0376,0.0324,0.0000,0.0000,0.0000,0
ByxkijC5FQ,2019,7,0.7000,565,632,0.2584,0.1657,0.2045,0.0927,0.0425,0.0283,0.0000,0.0000,0.0000,0
BkeU5j0ctQ,2019,8,0.8831,651,1129,0.2340,0.1357,0.1633,0.0983,0.0445,0.0252,0.0000,0.0000,0.0000,0
rkgd0iA9FQ,2019,8,0.8500,539,1513,0.1840,0.1340,0.1579,0.0500,0.1039,0.0260,0.0263,0.0000,0.0000,1
H1gKYo09tX,2019,8,0.8171,533,955,0.2128,0.1434,0.1803,0.0694,0.0525,0.0341,0.0000,0.0000,0.0000,0
B17JTOe0-,2018,8,0.8344,718,1055,0.2472,0.1130,0.1223,0.1342,0.0487,0.0209,0.0000,0.0000,0.0000,0
HyxPx3R9tm,2019,8,0.8833,767,1366,0.2389,0.1246,0.1409,0.1143,0.0561,0.0227,0.0000,0.0000,0.0000,0
r1eiqi09K7,2019,8,0.8722,525,919,0.1944,0.1514,0.1979,0.0430,0.0552,0.0274,0.0000,0.0000,0.0000,0
H1eRBoC9FX,2019,8,0.8052,573,1578,0.2078,0.1551,0.1850,0.0527,0.0489,0.0419,0.0000,0.0000,0.0000,0
H1gFuiA9KX,2019,6,0.6098,542,606,0.2156,0.1296,0.1659,0.0860,0.0535,0.0292,0.0000,0.0000,0.0000,0
Hyx4knR9Ym,2019,7,0.7127,897,1102,0.2000,0.1451,0.1685,0.0549,0.0301,0.0198,0.0000,0.0000,0.0000,0
SyX0IeWAW,2018,8,0.8208,358,841,0.1799,0.1406,0.1538,0.0393,0.0587,0.0391,0.0000,0.0000,0.0000,0
HylsgnCcFQ,2019,8,0.8135,853,804,0.3898,0.1341,0.1470,0.2558,0.0375,0.0152,0.0000,0.0000,0.0000,0
ryepFJbA-,2018,8,0.8609,672,701,0.1791,0.1336,0.1778,0.0455,0.0223,0.0185,0.0000,0.0000,0.0000,0
rkgbwsAcYm,2019,8,0.8611,716,909,0.2623,0.1406,0.1709,0.1217,0.0768,0.0201,0.0103,0.0000,0.0000,1
ryGvcoA5YX,2019,8,0.8421,728,728,0.2150,0.1228,0.1498,0.0921,0.0495,0.0192,0.0000,0.0000,0.0000,0
B1VZqjAcYX,2019,9,0.9778,678,1073,0.2412,0.1444,0.1553,0.0968,0.0339,0.0265,0.0000,0.0000,0.0000,0
SyhRVm-Rb,2018,8,0.8679,564,1258,0.2000,0.1544,0.1875,0.0456,0.0390,0.0443,0.0000,0.0000,0.0000,0
r17lFgZ0Z,2018,8,0.8493,667,1155,0.2049,0.1478,0.1638,0.0572,0.0540,0.0246,0.0000,0.0000,0.0000,0
rJx1Na4Fwr,2020,8,0.8814,200,804,0.1923,0.0996,0.1333,0.0927,0.1300,0.0730,0.0000,0.0000,0.0000,0
rk6qdGgCZ,2018,9,0.9868,490,953,0.2069,0.1508,0.1833,0.0560,0.0551,0.0269,0.0000,0.0000,0.0000,0
H113pWZRb,2018,8,0.8587,529,1357,0.1603,0.1411,0.1944,0.0192,0.1021,0.0336,0.0000,0.0000,0.0000,0
H1lJJnR5Ym,2019,9,0.9870,414,898,0.2772,0.1427,0.1569,0.1345,0.0749,0.0353,0.0000,0.0000,0.0000,0
S1XolQbRW,2018,8,0.8830,607,1291,0.1838,0.1256,0.1406,0.0582,0.0379,0.0231,0.0000,0.0000,0.0000,0
H1gR5iR5FX,2019,8,0.8902,633,925,0.1897,0.1315,0.1809,0.0581,0.0363,0.0234,0.0000,0.0000,0.0000,0
BJInEZsTb,2018,9,0.9304,811,916,0.1545,0.1287,0.1667,0.0258,0.0271,0.0281,0.0000,0.0000,0.0000,0
ryeYHi0ctQ,2019,9,0.9200,692,1050,0.2385,0.1269,0.1628,0.1115,0.0491,0.0257,0.0000,0.0000,0.0000,0
SkgzYiRqtX,2019,9,0.9390,690,828,0.1818,0.1304,0.1759,0.0514,0.0406,0.0232,0.0000,0.0000,0.0000,0
rylV-2C9KQ,2019,9,0.9238,729,1326,0.2462,0.1652,0.1923,0.0809,0.0398,0.0236,0.0000,0.0000,0.0000,0
BkewX2C9tX,2019,9,0.9841,772,1164,0.2168,0.1568,0.1925,0.0600,0.0285,0.0223,0.0000,0.0000,0.0000,0
S1Auv-WRZ,2018,9,0.9620,819,1369,0.1341,0.1502,0.1983,-0.0160,0.0598,0.0278,0.0000,0.0000,0.0000,0
SyVuRiC5K7,2019,9,0.9889,624,977,0.2750,0.1268,0.1429,0.1482,0.0641,0.0288,0.0000,0.0000,0.0000,0
rJ4km2R5t7,2019,9,1.0000,506,771,0.2727,0.1243,0.1468,0.1485,0.1877,0.0411,0.0676,0.0000,0.0000,1
r1gR2sC9FX,2019,9,0.9413,700,890,0.1638,0.1381,0.1687,0.0257,0.0371,0.0217,0.0000,0.0000,0.0000,0
HylVB3AqYm,2019,9,0.9722,910,1589,0.1955,0.1636,0.2115,0.0319,0.0242,0.0198,0.0000,0.0000,0.0000,0
rkgNKkHtvB,2020,9,0.9808,642,605,0.3878,0.1334,0.1667,0.2543,0.0498,0.0252,0.0667,0.0000,0.0000,1
ryQu7f-RZ,2018,9,0.9934,377,785,0.1818,0.1327,0.1846,0.0491,0.0477,0.0350,0.0000,0.0000,0.0000,0
Bygh9j09KX,2019,9,0.9937,595,1115,0.1742,0.1314,0.1522,0.0428,0.0303,0.0215,0.0000,0.0000,0.0000,0
BJGVX3CqYm,2019,9,0.9579,870,722,0.2251,0.1232,0.1493,0.1019,0.0506,0.0186,0.0000,0.0000,0.0000,0
SJn0sLgRb,2018,9,0.9040,700,1220,0.1867,0.1730,0.1860,0.0136,0.0586,0.0329,0.0000,0.0000,0.0000,0
BkgBvsC9FQ,2019,9,0.9024,731,1033,0.2646,0.1534,0.1791,0.1112,0.0561,0.0295,0.0000,0.0000,0.0000,0
B1lKS2AqtX,2019,9,0.9573,951,1090,0.1429,0.1233,0.1343,0.0195,0.0200,0.0179,0.0000,0.0000,0.0000,0
rkxacs0qY7,2019,9,0.9048,570,790,0.1762,0.1244,0.1346,0.0518,0.0421,0.0253,0.0000,0.0000,0.0000,0
SkBYYyZRZ,2018,9,0.9735,531,1101,0.2109,0.1526,0.1590,0.0583,0.0452,0.0313,0.0000,0.0000,0.0000,0
Syg-YfWCW,2018,9,0.9528,749,1117,0.1667,0.1485,0.1687,0.0181,0.0320,0.0264,0.0000,0.0000,0.0000,0
HyxAfnA5tm,2019,8,0.8734,644,1306,0.2273,0.1607,0.1867,0.0666,0.1040,0.0286,0.0288,0.0000,0.0000,1
r1laEnA5Ym,2019,9,0.9071,823,697,0.2034,0.1622,0.1914,0.0412,0.0292,0.0248,0.0000,0.0000,0.0000,0
r1lYRjC9F7,2019,9,0.9402,679,870,0.1765,0.1303,0.1527,0.0462,0.0295,0.0247,0.0000,0.0000,0.0000,0
BygfghAcYX,2019,9,0.9397,410,522,0.2128,0.1464,0.1675,0.0664,0.0512,0.0420,0.0000,0.0000,0.0000,0
SJ71VXZAZ,2018,9,0.9178,738,789,0.1905,0.1386,0.1520,0.0519,0.0230,0.0222,0.0000,0.0000,0.0000,0
rkl03ySYDH,2020,9,0.9286,815,1122,0.1915,0.1401,0.1765,0.0514,0.0663,0.0248,0.0000,0.0000,0.0000,0
ryxMX2R9YQ,2019,2,0.2873,791,741,0.2192,0.1359,0.1613,0.0833,0.0493,0.0207,0.0000,0.0000,0.0000,0
rkTS8lZAb,2018,2,0.2089,530,924,0.1935,0.1571,0.1790,0.0364,0.0415,0.0351,0.0000,0.0000,0.0000,0
Hk41X2AqtQ,2019,2,0.2222,812,915,0.2039,0.1547,0.1648,0.0492,0.0653,0.0219,0.0000,0.0000,0.0000,0
ryen_CEFwr,2020,3,0.3333,679,1096,0.1955,0.1624,0.2072,0.0331,0.0339,0.0242,0.0000,0.0000,0.0000,0
HJGven05Y7,2019,8,0.8500,684,801,0.2060,0.1600,0.1692,0.0460,0.0351,0.0228,0.0000,0.0000,0.0000,0
HJWGdbbCW,2018,9,0.9151,416,609,0.1772,0.1316,0.1469,0.0456,0.0577,0.0567,0.0000,0.0000,0.0000,0
